231.58,226.66,231.64,229.94,228.93,227.34,230.14,229.01
234.17,230.24,228.57,232.15,231.47,233.69,229.61,227.67
225.98,228.96,229.08,237.47,228.46,231.51,229.67,232.23
232.22,235.28,230.33,230.81,233.01,231.88,233.75,229.24
231.14,230.65,230.16,231.16,229.37,230.69,230.38,233.91
227.88,231.25,232.17,231.32,230.49,231.99,228.89,230.76
229.63,231.29,229.91,229.29,229.17,227.16,228.93,229.43
231.19,230.28,228.38,230.96,228.36,232.95,232.3 ,225.38
237.66,226.84,231.19,228.78,229.77,229.36,232.33,230.55
236.04,234.68,231.02,230.69,228.43,230.27,233.48,231.28
227.8 ,231.22,235.47,228.97,229.25,228.66,230.87,231.02
236.57,228.91,233.28,227.61,229.63,231.28,231.89,227.93
231.95,230.05,231.68,229.52,229.33,231.53,229.18,227.29
230.37,233.69,232.64,234.97,229.51,230.73,231.02,234.58
231.93,230.81,230.01,233.7 ,230.32,231.84,229.6 ,231.02
230.09,230.86,226.99,230.9 ,231.51,228.89,230.82,232.07
230.25,229.82,232.74,228.75,229.61,228.66,230.37,228.82
233.48,227.45,230.76,227.02,229.82,229.1 ,228.73,231.33
233.32,229.08,233.69,229.52,229.74,230.84,230.41,233.72
233.33,228.77,232.51,230.28,229.34,226.89,229.16,226.83
231.84,230.64,232.2 ,229.46,231.34,233.29,232.19,230.04
228.09,230.81,229.81,231.66,230.48,227.94,231.32,231.22
231.93,230.14,232.26,233.42,230.76,230.45,229.38,233
233.76,231.96,229.71,231.62,229.29,232.65,230.22,229.65
231.48,229.8 ,231.04,232.26,234.47,227.56,232.58,229.03
232.57,230.97,230.37,231.24,232.36,225.69,231.21,224.91
231.95,228.76,231.15,227.48,231.91,228.37,229.23,229.14
229.89,228.53,235.19,231.03,230.26,229.97,232.72,232.14
231.09,229.91,230.21,231.23,231.24,233.26,227.32,228.59
228.93,232.15,229.7 ,227.14,230.36,232.38,226.56,230.3
232.28,230.89,233.13,230.64,231.68,232.52,232.22,231.95
228.21,231.1 ,229.15,232.35,228.87,226.28,229.94,227.51
228.36,229.08,230.43,226.12,227.73,230.17,229.93,231.75
228.88,229.12,228.03,230.01,232.82,229.86,232.33,231.83
224.61,231.65,231.14,230.61,226.88,231.35,227.25,230.59
233.38,231.39,231.53,231.92,232.83,234.51,230.4 ,234.35
231.15,227.85,231.64,234.31,230.27,231.23,229.41,232.61
228.99,227.5 ,230.49,230.69,229.76,230.85,231.43,229.41
233.24,232.53,231.72,230.41,232.47,231.85,232.9 ,229.18
